#           k/h    P           
    0.10039E-04    0.10264E-01
    0.10090E-04    0.10313E-01
    0.10140E-04    0.10363E-01
    0.10191E-04    0.10413E-01
    0.10242E-04    0.10463E-01
    0.10293E-04    0.10513E-01
    0.10345E-04    0.10564E-01
    0.10397E-04    0.10614E-01
    0.10449E-04    0.10665E-01
    0.10501E-04    0.10717E-01
    0.10554E-04    0.10768E-01
    0.10607E-04    0.10820E-01
    0.10660E-04    0.10872E-01
    0.10714E-04    0.10925E-01
    0.10767E-04    0.10977E-01
    0.10821E-04    0.11030E-01
    0.10875E-04    0.11083E-01
    0.10930E-04    0.11136E-01
    0.10985E-04    0.11190E-01
    0.11040E-04    0.11244E-01
    0.11095E-04    0.11298E-01
    0.11151E-04    0.11352E-01
    0.11207E-04    0.11407E-01
    0.11263E-04    0.11462E-01
    0.11319E-04    0.11517E-01
    0.11376E-04    0.11572E-01
    0.11433E-04    0.11628E-01
    0.11490E-04    0.11684E-01
    0.11548E-04    0.11740E-01
    0.11606E-04    0.11797E-01
    0.11664E-04    0.11853E-01
    0.11722E-04    0.11910E-01
    0.11781E-04    0.11968E-01
    0.11840E-04    0.12025E-01
    0.11900E-04    0.12083E-01
    0.11959E-04    0.12141E-01
    0.12019E-04    0.12200E-01
    0.12079E-04    0.12258E-01
    0.12140E-04    0.12317E-01
    0.12201E-04    0.12377E-01
    0.12262E-04    0.12436E-01
    0.12323E-04    0.12496E-01
    0.12385E-04    0.12556E-01
    0.12447E-04    0.12617E-01
    0.12510E-04    0.12677E-01
    0.12572E-04    0.12738E-01
    0.12635E-04    0.12800E-01
    0.12699E-04    0.12861E-01
    0.12762E-04    0.12923E-01
    0.12826E-04    0.12985E-01
    0.12891E-04    0.13048E-01
    0.12955E-04    0.13110E-01
    0.13020E-04    0.13174E-01
    0.13086E-04    0.13237E-01
    0.13151E-04    0.13301E-01
    0.13217E-04    0.13365E-01
    0.13283E-04    0.13429E-01
    0.13350E-04    0.13494E-01
    0.13417E-04    0.13558E-01
    0.13484E-04    0.13624E-01
    0.13552E-04    0.13689E-01
    0.13620E-04    0.13755E-01
    0.13688E-04    0.13821E-01
    0.13756E-04    0.13888E-01
    0.13825E-04    0.13955E-01
    0.13895E-04    0.14022E-01
    0.13964E-04    0.14089E-01
    0.14034E-04    0.14157E-01
    0.14105E-04    0.14225E-01
    0.14175E-04    0.14294E-01
    0.14246E-04    0.14362E-01
    0.14318E-04    0.14431E-01
    0.14390E-04    0.14501E-01
    0.14462E-04    0.14571E-01
    0.14534E-04    0.14641E-01
    0.14607E-04    0.14711E-01
    0.14680E-04    0.14782E-01
    0.14754E-04    0.14853E-01
    0.14828E-04    0.14925E-01
    0.14902E-04    0.14996E-01
    0.14977E-04    0.15069E-01
    0.15052E-04    0.15141E-01
    0.15127E-04    0.15214E-01
    0.15203E-04    0.15287E-01
    0.15279E-04    0.15361E-01
    0.15356E-04    0.15435E-01
    0.15433E-04    0.15509E-01
    0.15510E-04    0.15583E-01
    0.15588E-04    0.15658E-01
    0.15666E-04    0.15734E-01
    0.15745E-04    0.15810E-01
    0.15824E-04    0.15886E-01
    0.15903E-04    0.15962E-01
    0.15983E-04    0.16039E-01
    0.16063E-04    0.16116E-01
    0.16143E-04    0.16194E-01
    0.16224E-04    0.16271E-01
    0.16306E-04    0.16350E-01
    0.16387E-04    0.16428E-01
    0.16469E-04    0.16507E-01
    0.16552E-04    0.16587E-01
    0.16635E-04    0.16667E-01
    0.16718E-04    0.16747E-01
    0.16802E-04    0.16827E-01
    0.16886E-04    0.16908E-01
    0.16971E-04    0.16990E-01
    0.17056E-04    0.17072E-01
    0.17142E-04    0.17154E-01
    0.17228E-04    0.17236E-01
    0.17314E-04    0.17319E-01
    0.17401E-04    0.17402E-01
